x,y
-5,0
-4.949748744,0
-4.899497487,0
-4.849246231,0
-4.798994975,0
-4.748743719,0
-4.698492462,0
-4.648241206,0
-4.59798995,0
-4.547738693,0
-4.497487437,0
-4.447236181,0
-4.396984925,0
-4.346733668,0
-4.296482412,0
-4.246231156,0
-4.195979899,0
-4.145728643,0
-4.095477387,0
-4.045226131,0
-3.994974874,0
-3.944723618,0
-3.894472362,0
-3.844221106,0
-3.793969849,0
-3.743718593,0
-3.693467337,0
-3.64321608,0
-3.592964824,0
-3.542713568,0
-3.492462312,0
-3.442211055,0
-3.391959799,0
-3.341708543,0
-3.291457286,0
-3.24120603,0
-3.190954774,0
-3.140703518,0
-3.090452261,0
-3.040201005,0
-2.989949749,0
-2.939698492,0
-2.889447236,0
-2.83919598,0
-2.788944724,0
-2.738693467,0
-2.688442211,0
-2.638190955,0
-2.587939698,0
-2.537688442,0
-2.487437186,0
-2.43718593,0
-2.386934673,0
-2.336683417,0
-2.286432161,0
-2.236180905,0
-2.185929648,0
-2.135678392,0
-2.085427136,0
-2.035175879,0
-1.984924623,0
-1.934673367,0
-1.884422111,0
-1.834170854,0
-1.783919598,0
-1.733668342,0
-1.683417085,0
-1.633165829,0
-1.582914573,0
-1.532663317,0
-1.48241206,0
-1.432160804,0
-1.381909548,0
-1.331658291,0
-1.281407035,0
-1.231155779,0
-1.180904523,0
-1.130653266,0
-1.08040201,0
-1.030150754,0
-0.9798994975,0
-0.9296482412,0
-0.8793969849,0
-0.8291457286,0
-0.7788944724,0
-0.7286432161,0
-0.6783919598,0
-0.6281407035,0
-0.5778894472,0
-0.527638191,0
-0.4773869347,0
-0.4271356784,0
-0.3768844221,0
-0.3266331658,0
-0.2763819095,0
-0.2261306533,0
-0.175879397,0
-0.1256281407,0
-0.07537688442,0
-0.02512562814,0
0.02512562814,1
0.07537688442,1
0.1256281407,1
0.175879397,1
0.2261306533,1
0.2763819095,1
0.3266331658,1
0.3768844221,1
0.4271356784,1
0.4773869347,1
0.527638191,1
0.5778894472,1
0.6281407035,1
0.6783919598,1
0.7286432161,1
0.7788944724,1
0.8291457286,1
0.8793969849,1
0.9296482412,1
0.9798994975,1
1.030150754,1
1.08040201,1
1.130653266,1
1.180904523,1
1.231155779,1
1.281407035,1
1.331658291,1
1.381909548,1
1.432160804,1
1.48241206,1
1.532663317,1
1.582914573,1
1.633165829,1
1.683417085,1
1.733668342,1
1.783919598,1
1.834170854,1
1.884422111,1
1.934673367,1
1.984924623,1
2.035175879,1
2.085427136,1
2.135678392,1
2.185929648,1
2.236180905,1
2.286432161,1
2.336683417,1
2.386934673,1
2.43718593,1
2.487437186,1
2.537688442,1
2.587939698,1
2.638190955,1
2.688442211,1
2.738693467,1
2.788944724,1
2.83919598,1
2.889447236,1
2.939698492,1
2.989949749,1
3.040201005,1
3.090452261,1
3.140703518,1
3.190954774,1
3.24120603,1
3.291457286,1
3.341708543,1
3.391959799,1
3.442211055,1
3.492462312,1
3.542713568,1
3.592964824,1
3.64321608,1
3.693467337,1
3.743718593,1
3.793969849,1
3.844221106,1
3.894472362,1
3.944723618,1
3.994974874,1
4.045226131,1
4.095477387,1
4.145728643,1
4.195979899,1
4.246231156,1
4.296482412,1
4.346733668,1
4.396984925,1
4.447236181,1
4.497487437,1
4.547738693,1
4.59798995,1
4.648241206,1
4.698492462,1
4.748743719,1
4.798994975,1
4.849246231,1
4.899497487,1
4.949748744,1
5,1
